timestamp,value,instance,job
2026-08-24 18:56:41.003692,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:56:46.008048,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:56:51.007890,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:56:56.008024,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:01.008649,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:06.008675,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:11.008669,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:16.007877,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:21.008011,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:26.008818,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:31.008599,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:36.008713,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:41.008905,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:46.008691,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:51.008681,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:57:56.006982,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:01.004009,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:06.004008,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:11.005523,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:16.008006,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:21.008634,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:26.008680,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:31.008682,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:36.008724,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:41.007990,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:46.008646,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:51.004857,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:58:56.005030,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:01.005896,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:06.007887,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:11.008715,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:16.004347,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:21.008682,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:26.007875,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:31.004547,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:36.006537,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:41.008684,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:46.004424,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:51.008723,0.0,172.22.174.66:9100,node-exporter
2026-08-24 18:59:56.008681,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:01.007722,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:06.007878,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:11.008679,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:16.008692,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:21.008058,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:26.008674,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:31.008035,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:36.007890,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:41.008689,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:46.008021,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:51.004259,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:00:56.008687,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:01.004759,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:06.008515,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:11.008663,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:16.008687,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:21.005293,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:26.004527,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:31.008682,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:36.008667,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:41.005534,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:46.005068,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:51.006779,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:01:56.007822,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:01.008676,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:06.008041,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:11.008648,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:16.004483,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:21.008034,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:26.008043,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:31.008689,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:36.007879,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:41.007891,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:46.007885,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:51.007902,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:02:56.005736,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:01.007889,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:06.007889,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:11.008686,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:16.004216,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:21.007202,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:26.007900,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:31.008864,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:36.007989,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:41.008011,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:46.008566,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:51.008682,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:03:56.007854,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:04:01.007877,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:04:06.008055,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:04:11.008655,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:04:16.007624,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:04:21.008878,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:04:26.007880,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:04:31.008730,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:04:36.007887,0.0,172.22.174.66:9100,node-exporter
2026-08-24 19:04:41.008595,0.0,172.22.174.66:9100,node-exporter
