epoch,g_loss,d_loss
0,19.9196621576945,1.35755056142807
1,11.349783182144165,1.3510810335477192
2,7.7230095863342285,1.384073833624522
3,5.4427330493927,1.3869231343269348
4,9.347497383753458,1.3837145765622456
5,6.1433494091033936,1.3785568873087566
6,7.516568660736084,1.381215751171112
7,6.827219168345134,1.3855114976565044
8,5.6134116649627686,1.383831779162089
9,6.066154956817627,1.383471707503001
10,6.681267658869426,1.3841835260391235
11,5.577251116434733,1.3704402645428975
12,6.2811557451883955,1.3643093307813008
13,4.976217905680339,1.36422202984492
14,5.293396949768066,1.3368387619654338
15,6.9024825890858965,1.2985239028930664
16,6.339561700820923,1.2827803293863933
17,4.458818236986796,1.2801419893900554
18,6.45621379216512,1.2383528351783752
19,7.554582913716634,1.1581892172495525
20,6.120380004247029,1.0194882154464722
21,7.568157394727071,0.872603158156077
22,6.729241609573364,0.7285235524177551
23,6.392082929611206,0.6926930497090021
24,6.580843607584636,0.5915467043717703
25,6.1319420337677,0.8198999464511871
26,5.6732016404469805,0.7561324288447698
27,5.259541908899943,0.681739350159963
28,8.525266488393148,0.5397369414567947
29,5.131364583969116,0.5181207557519277
30,7.4114963213602705,0.3565135672688484
31,8.585920651753744,0.2996235241492589
32,8.641161998112997,0.3720766405264537
33,8.631946643193563,0.41118859002987546
34,7.9063026905059814,0.5937254726886749
35,8.189704974492392,1.008958488702774
36,5.339487314224243,3.2811538179715476
37,6.313416083653768,3.861106197039286
38,6.7087645928064985,3.0594584941864014
39,7.0085558493932085,1.4175671239693959
40,8.408997535705566,0.6124228735764822
41,7.064182758331299,0.7527482708295187
42,8.128115892410278,0.9167442172765732
43,7.833261887232463,0.9051149388154348
44,7.122769753138225,0.8027697702248892
45,7.666802644729614,0.6837353507677714
46,6.995980103810628,0.5932985842227936
47,7.8744237422943115,0.550155575076739
