epoch,loss
0,0.06486536640052994
1,0.024676278543968994
2,0.01668755632514755
3,0.014533996892472109
4,0.013238418071220318
5,0.009061054016153017
6,0.007217072105656068
7,0.005437337172528108
8,0.0041550992367168265
9,0.003580414049793035
10,0.0034003956049370268
11,0.0029947480264430246
12,0.0028093003784306347
13,0.0025833691858376064
14,0.0022196090042901537
15,0.002071489676988373
16,0.001889290229883045
17,0.001896719477372244
18,0.0018577815499156713
19,0.0019353850851378713
20,0.0018490533305642505
21,0.0019107547802074503
22,0.0017651055726067473
23,0.0018169520384011169
24,0.0017341404842833679
25,0.0017734526384932299
26,0.0016705456655472517
27,0.0017261349615485717
28,0.0016742764370671164
29,0.0017427550240730245
30,0.0016432413200770195
31,0.0016439482278656214
32,0.0016248056296414386
33,0.0015244320772277813
34,0.0014053070820712794
35,0.0013771594191590946
36,0.0014286352185687672
37,0.0014207038426926981
38,0.00143589861302947
39,0.0013574606127804145
40,0.0014386120553050812
41,0.0014732388663105667
42,0.0013171665680905182
43,0.0012810467936409016
44,0.0011647081992123276
45,0.0011770700511988252
46,0.0010424449525695916
47,0.0011367363864944007
48,0.0011564679055785139
49,0.0011339198681525886
50,0.0010035007532375555
51,0.0009520628955215216
52,0.0009589479401862869
53,0.0008963065435333798
54,0.0009221641424422463
55,0.0009426460892427713
56,0.0008497480012010783
57,0.0008563916392934819
58,0.0008239000647639235
59,0.0008684932108735666
60,0.0010294374466563265
61,0.0010722934578855832
62,0.0011793886175534378
63,0.0010467147512827069
64,0.0009514910246556004
65,0.0008761909557506442
66,0.0006922150496393442
67,0.000728920601735202
68,0.0006798028092210492
69,0.0005984608772754049
70,0.0005710877352006113
71,0.0005820180328252415
72,0.0005549004175312197
73,0.0005597308239278694
74,0.0005346902592767341
75,0.0005740322667406872
76,0.0005113185907248408
77,0.0004960768613576269
78,0.0006511495836700002
79,0.0005622436486495038
80,0.00044690401894816506
81,0.00048292438926485676
82,0.0004274674696110499
83,0.0004840576948481612
84,0.0006293904613509463
85,0.0005467229736192772
86,0.0005449018305322776
87,0.00048695074413747835
88,0.000475868335342966
89,0.0005399932997534052
90,0.0004722631977832255
91,0.0003680952456003676
92,0.00029566359444288537
93,0.0002984220748961282
94,0.0002697399116489881
95,0.0002385156379508165
96,0.00020548596027462432
97,0.0002625462123736118
98,0.000236737357530122
99,0.00020467515302395137
