timestamp,value,instance,job
2026-08-15 09:40:42.383142,0.09298822130424422,172.22.174.66:9100,node-exporter
2026-08-15 09:40:47.387891,0.09340000935712034,172.22.174.66:9100,node-exporter
2026-08-15 09:40:52.388101,0.09382948996779017,172.22.174.66:9100,node-exporter
2026-08-15 09:40:57.387467,0.09413393901686817,172.22.174.66:9100,node-exporter
2026-08-15 09:41:02.388106,0.09445315263002052,172.22.174.66:9100,node-exporter
2026-08-15 09:41:07.384939,0.09477840912382773,172.22.174.66:9100,node-exporter
2026-08-15 09:41:12.387414,0.09509238972692846,172.22.174.66:9100,node-exporter
2026-08-15 09:41:17.385566,0.0954574544757717,172.22.174.66:9100,node-exporter
2026-08-15 09:41:22.388130,0.09531423197447642,172.22.174.66:9100,node-exporter
2026-08-15 09:41:27.384055,0.09544107017049086,172.22.174.66:9100,node-exporter
2026-08-15 09:41:32.388141,0.09540344233630971,172.22.174.66:9100,node-exporter
2026-08-15 09:41:37.388130,0.09545215916798133,172.22.174.66:9100,node-exporter
2026-08-15 09:41:42.384180,0.09543546337400688,172.22.174.66:9100,node-exporter
2026-08-15 09:41:47.387883,0.09537945770690626,172.22.174.66:9100,node-exporter
2026-08-15 09:41:52.387625,0.09527728941542102,172.22.174.66:9100,node-exporter
2026-08-15 09:41:57.388114,0.09533740673327662,172.22.174.66:9100,node-exporter
2026-08-15 09:42:02.388092,0.0956808541667874,172.22.174.66:9100,node-exporter
2026-08-15 09:42:07.383415,0.09581529268692457,172.22.174.66:9100,node-exporter
2026-08-15 09:42:12.388140,0.09572589543187504,172.22.174.66:9100,node-exporter
2026-08-15 09:42:17.385761,0.09573081695323316,172.22.174.66:9100,node-exporter
2026-08-15 09:42:22.388103,0.09584475951733451,172.22.174.66:9100,node-exporter
2026-08-15 09:42:27.388128,0.09589870935905787,172.22.174.66:9100,node-exporter
2026-08-15 09:42:32.388118,0.09603289868824016,172.22.174.66:9100,node-exporter
2026-08-15 09:42:37.387881,0.09588880401860289,172.22.174.66:9100,node-exporter
