train_loss,train_recon,train_kl,test_loss,test_recon,test_kl,kl_weight
4.716980814933777,4.716980814933777,0.054380410661300026,0.6012518405914307,0.6012518405914307,0.03395464830100536,0.0
2.952215870221456,2.9522088766098022,0.07001923521359761,0.590732753276825,0.5907293558120728,0.033921919763088226,0.01
2.2916417519251504,2.2916247049967446,0.08554112911224365,0.5525321662425995,0.5525250732898712,0.03543278947472572,0.02
1.954131583372752,1.9540986220041912,0.10985579093297322,0.49180106818675995,0.4917880594730377,0.04332691244781017,0.03
1.6288278897603352,1.6287699739138286,0.1447813113530477,0.4780854135751724,0.47806236147880554,0.057607488706707954,0.04
1.405571440855662,1.4054852525393169,0.17235013594230017,0.3407004326581955,0.3406529724597931,0.09491806104779243,0.05
1.2904285788536072,1.2903003096580505,0.21380461504062018,0.3800223022699356,0.37993374466896057,0.14760655164718628,0.06
1.161054293314616,1.1608359217643738,0.31195334593455,0.4525546282529831,0.4523823410272598,0.2461356595158577,0.07
1.071978618701299,1.071657121181488,0.40188711881637573,0.6043868064880371,0.6041504144668579,0.2954976260662079,0.08
0.9704905649026235,0.9700404504934946,0.5001169790824255,0.7224673330783844,0.7221235036849976,0.38204754889011383,0.09
0.916466623544693,0.9157309532165527,0.7356586257616679,0.4490693509578705,0.4483553618192673,0.7139981091022491,0.1
0.8888865609963735,0.8875899116198221,1.178767700990041,0.5566310733556747,0.5553620308637619,1.1536669731140137,0.11
0.7825174629688263,0.7801331381003062,1.9869293371836345,0.4620400071144104,0.4600813090801239,1.6322444677352905,0.12
0.7309158245722452,0.7268583079179128,3.121171553929647,0.4346807450056076,0.4310736507177353,2.774691104888916,0.13
0.6923307081063589,0.6862331132094065,4.355429450670878,0.30073000490665436,0.29515594989061356,3.981462001800537,0.14
0.6291724046071371,0.621001789967219,5.447078307469686,0.3129313737154007,0.3062743544578552,4.438021659851074,0.15
0.6177958448727926,0.608349084854126,5.904222329457601,0.4939914792776108,0.4878278076648712,3.852297067642212,0.16
0.6289508293072382,0.6191180596748987,5.783981164296468,0.3613306134939194,0.3553799241781235,3.500402331352234,0.17
0.5704982578754425,0.5602058072884878,5.7180265585581465,0.34471116960048676,0.3381485790014267,3.645879864692688,0.18
0.4515606115261714,0.44040973484516144,5.868881940841675,0.3849358707666397,0.3770568072795868,4.146876811981201,0.19
0.5770555734634399,0.5650642563899358,5.995659748713176,0.2991149425506592,0.2923869490623474,3.363998770713806,0.2
0.48181307315826416,0.4712055226167043,5.051218827565511,0.28624381124973297,0.2810768187046051,2.460474729537964,0.21
0.45560453832149506,0.44622201720873517,4.264782706896464,0.270268976688385,0.2653915509581566,2.217012047767639,0.22
0.38783730069796246,0.37821699182192486,4.182742357254028,0.31728018820285797,0.31233827769756317,2.148654341697693,0.23
0.4431941906611125,0.43327950934569043,4.13111424446106,0.3759979009628296,0.37180012464523315,1.7490689754486084,0.24
0.3968433042367299,0.38573700686295825,4.442516088485718,0.3239733874797821,0.3204050660133362,1.4273316860198975,0.25
0.3631461610396703,0.3527120550473531,4.013116836547852,0.2600703537464142,0.25690169632434845,1.2187129259109497,0.26
0.4377346883217494,0.4280587633450826,3.5836753447850547,0.32872648537158966,0.3259907215833664,1.0132426619529724,0.27
0.3937211607893308,0.38419684519370395,3.4015389680862427,0.28863100707530975,0.28620781004428864,0.8654297590255737,0.28
0.28768506894509,0.27893906831741333,3.0158620278040567,0.3401935249567032,0.33702708780765533,1.09187650680542,0.29
0.3301386560002963,0.3213598082462947,2.9262812534968057,0.2643261253833771,0.2608057111501694,1.1734719276428223,0.3
0.3843710745374362,0.3759222204486529,2.725435654322306,0.38105081021785736,0.37760503590106964,1.1115394234657288,0.31
0.3912407507499059,0.38099678854147595,3.201237916946411,0.331270195543766,0.32808925211429596,0.9940427243709564,0.32
0.3685094217459361,0.3569055100282033,3.516335447629293,0.2715957388281822,0.2680674195289612,1.06918603181839,0.33
0.22853552053372064,0.21680530409018198,3.4500646591186523,0.39282500743865967,0.39028820395469666,0.7461174130439758,0.34
0.3545825456579526,0.3439096137881279,3.0494082967440286,0.35151307284832,0.348552405834198,0.845904141664505,0.35
0.26879363010327023,0.25854209810495377,2.847648024559021,0.3257655054330826,0.3222923129796982,0.9647784233093262,0.36
0.3175745854775111,0.3078918531537056,2.6169556776682534,0.29620324075222015,0.29240308701992035,1.0270661115646362,0.37
0.6551826819777489,0.6463436931371689,2.3260512749354043,0.305619940161705,0.3018653243780136,0.988053560256958,0.38
0.39468089987834293,0.3856470286846161,2.3163777192433677,0.24160297960042953,0.2379424124956131,0.9386063814163208,0.39
0.3331727360685666,0.32352183510859805,2.412725845972697,0.26061636954545975,0.2573004364967346,0.828982025384903,0.4
0.3728479246298472,0.36511123180389404,1.886997898419698,0.31492939591407776,0.3115560859441757,0.8227579295635223,0.41
0.2801383112867673,0.27280498047669727,1.7460302511850994,0.27565910667181015,0.27163686603307724,0.957675039768219,0.42
0.4892026459177335,0.4802811841169993,2.0747572580973306,0.2620922178030014,0.25727346539497375,1.1206398010253906,0.43
0.3229879190524419,0.31194736808538437,2.5092163483301797,0.24458491802215576,0.23898882418870926,1.2718402743339539,0.44
0.36959583808978397,0.3582318226496379,2.525336821873983,0.27357642352581024,0.26750247180461884,1.349768579006195,0.45
0.2891315792997678,0.27870459109544754,2.266736467679342,0.254143126308918,0.2474190890789032,1.4617475271224976,0.46
0.3024024839202563,0.2926385576526324,2.0774306654930115,0.24814291298389435,0.2409362569451332,1.533332109451294,0.47
0.2832711512843768,0.2721659814318021,2.3135769168535867,0.35482193529605865,0.3466133326292038,1.7101250886917114,0.48
