timestamp,value
2026-08-24 13:00:35.014008,0.49
2026-08-24 13:00:40.019007,0.49
2026-08-24 13:00:45.018989,0.49
2026-08-24 13:00:50.014773,0.49
2026-08-24 13:00:55.018961,0.49
2026-08-24 13:01:00.019012,0.49
2026-08-24 13:01:05.015576,0.49
2026-08-24 13:01:10.018992,0.49
2026-08-24 13:01:15.017252,0.49
2026-08-24 13:01:20.014440,0.49
2026-08-24 13:01:25.018698,0.49
2026-08-24 13:01:30.019018,0.49
2026-08-24 13:01:35.018956,0.49
2026-08-24 13:01:40.018534,0.49
2026-08-24 13:01:45.018994,0.49
2026-08-24 13:01:50.018999,0.49
2026-08-24 13:01:55.018996,0.49
2026-08-24 13:02:00.015327,0.49
2026-08-24 13:02:05.017643,0.49
2026-08-24 13:02:10.019003,0.49
2026-08-24 13:02:15.019026,0.49
2026-08-24 13:02:20.017765,0.49
2026-08-24 13:02:25.018343,0.49
2026-08-24 13:02:30.018996,0.49
2026-08-24 13:02:35.017696,0.49
2026-08-24 13:02:40.019002,0.49
2026-08-24 13:02:45.019032,0.49
2026-08-24 13:02:50.016405,0.49
2026-08-24 13:02:55.019000,0.49
2026-08-24 13:03:00.018900,0.49
2026-08-24 13:03:05.018995,0.49
2026-08-24 13:03:10.018998,0.49
2026-08-24 13:03:15.018189,0.49
2026-08-24 13:03:20.018998,0.49
2026-08-24 13:03:25.019000,0.49
2026-08-24 13:03:30.015552,0.49
2026-08-24 13:03:35.017037,0.49
2026-08-24 13:03:40.014298,0.49
2026-08-24 13:03:45.018873,0.49
2026-08-24 13:03:50.018959,0.49
2026-08-24 13:03:55.018999,0.49
2026-08-24 13:04:00.018992,0.49
2026-08-24 13:04:05.016447,0.49
2026-08-24 13:04:10.018973,0.49
2026-08-24 13:04:15.018997,0.49
2026-08-24 13:04:20.014649,0.48941481572958384
2026-08-24 13:04:25.017448,0.48937591231586297
2026-08-24 13:04:30.019056,0.48950686644427055
2026-08-24 13:04:35.019004,0.48959240534690174
2026-08-24 13:04:40.019114,0.48966503425684765
2026-08-24 13:04:45.017827,0.48970682115445796
2026-08-24 13:04:50.018994,0.4897463710923218
2026-08-24 13:04:55.015446,0.4897710957957174
2026-08-24 13:05:00.019032,0.4897959331365854
2026-08-24 13:05:05.017923,0.48980840826701155
2026-08-24 13:05:10.018997,0.4898261254000953
2026-08-24 13:05:15.014486,0.49
2026-08-24 13:05:20.019010,0.49
2026-08-24 13:05:25.018966,0.49
2026-08-24 13:05:30.018996,0.49
2026-08-24 13:05:35.018887,0.49
2026-08-24 13:05:40.019025,0.49
2026-08-24 13:05:45.018996,0.49
2026-08-24 13:05:50.018888,0.49
2026-08-24 13:05:55.018997,0.49
2026-08-24 13:06:00.017994,0.49
2026-08-24 13:06:05.018977,0.4898461538461538
2026-08-24 13:06:10.019035,0.4898461538461538
2026-08-24 13:06:15.016273,0.4898461538461538
2026-08-24 13:06:20.019004,0.4898461538461538
2026-08-24 13:06:25.018708,0.4896875
2026-08-24 13:06:30.019023,0.4896875
2026-08-24 13:06:35.014585,0.4896875
2026-08-24 13:06:40.019017,0.4896875
2026-08-24 13:06:45.017850,0.4896875
2026-08-24 13:06:50.019014,0.4896875
2026-08-24 13:06:55.019003,0.4895238095238095
2026-08-24 13:07:00.016087,0.4896875
2026-08-24 13:07:05.015848,0.4896875
2026-08-24 13:07:10.019028,0.4896875
2026-08-24 13:07:15.018963,0.4896875
2026-08-24 13:07:20.019017,0.4898461538461538
2026-08-24 13:07:25.018953,0.48984375
2026-08-24 13:07:30.018996,0.4896875
2026-08-24 13:07:35.019045,0.4895238095238095
2026-08-24 13:07:40.019032,0.4895238095238095
