timestamp,value,instance,job
2026-02-17 16:52:36.605,0.6345060545456362,172.22.174.58:9100,node-exporter
2026-02-17 16:52:41.605,0.6317319636362795,172.22.174.58:9100,node-exporter
2026-02-17 16:52:46.605,0.6248773818179457,172.22.174.58:9100,node-exporter
2026-02-17 16:52:51.605,0.6199602363633775,172.22.174.58:9100,node-exporter
2026-02-17 16:52:56.605,0.6157279454544715,172.22.174.58:9100,node-exporter
2026-02-17 16:53:01.605,0.6129003090910952,172.22.174.58:9100,node-exporter
2026-02-17 16:53:06.605,0.6134887454544448,172.22.174.58:9100,node-exporter
2026-02-17 16:53:11.605,0.616771036363736,172.22.174.58:9100,node-exporter
2026-02-17 16:53:16.605,0.6093886727274035,172.22.174.58:9100,node-exporter
2026-02-17 16:53:21.605,0.6071965818182269,172.22.174.58:9100,node-exporter
2026-02-17 16:53:26.605,0.6062251818181142,172.22.174.58:9100,node-exporter
2026-02-17 16:53:31.605,0.6065658181818435,172.22.174.58:9100,node-exporter
2026-02-17 16:53:36.605,0.6111239454547599,172.22.174.58:9100,node-exporter
2026-02-17 16:53:41.605,0.6128121454549149,172.22.174.58:9100,node-exporter
2026-02-17 16:53:46.605,0.6156421090910126,172.22.174.58:9100,node-exporter
2026-02-17 16:53:51.605,0.6199239636363927,172.22.174.58:9100,node-exporter
2026-02-17 16:53:56.605,0.6218413272727048,172.22.174.58:9100,node-exporter
2026-02-17 16:54:01.605,0.6214283272729848,172.22.174.58:9100,node-exporter
2026-02-17 16:54:06.605,0.6220999454544984,172.22.174.58:9100,node-exporter
2026-02-17 16:54:11.605,0.6298700181817615,172.22.174.58:9100,node-exporter
2026-02-17 16:54:16.605,0.6339316363636912,172.22.174.58:9100,node-exporter
2026-02-17 16:54:21.605,0.6337165454542794,172.22.174.58:9100,node-exporter
2026-02-17 16:54:26.605,0.6319698545454726,172.22.174.58:9100,node-exporter
2026-02-17 16:54:31.605,0.6327007272725247,172.22.174.58:9100,node-exporter
2026-02-17 16:54:36.605,0.635205545454466,172.22.174.58:9100,node-exporter
2026-02-17 16:54:41.605,0.6373996727274391,172.22.174.58:9100,node-exporter
2026-02-17 16:54:46.605,0.6323487818182911,172.22.174.58:9100,node-exporter
2026-02-17 16:54:51.605,0.634824509090818,172.22.174.58:9100,node-exporter
