timestamp,value,instance,job
2026-02-19 20:38:43.639,0.0002746909090836363,172.22.174.58:9100,node-exporter
2026-02-19 20:38:48.639,0.0004160909090966346,172.22.174.58:9100,node-exporter
2026-02-19 20:38:53.639,0.0023520545454547657,172.22.174.58:9100,node-exporter
2026-02-19 20:38:58.639,0.002332236363641145,172.22.174.58:9100,node-exporter
2026-02-19 20:39:03.639,0.002330927272735359,172.22.174.58:9100,node-exporter
2026-02-19 20:39:08.639,0.0023322545454489457,172.22.174.58:9100,node-exporter
2026-02-19 20:39:13.639,0.002337254545454925,172.22.174.58:9100,node-exporter
2026-02-19 20:39:18.639,0.002265072727277584,172.22.174.58:9100,node-exporter
2026-02-19 20:39:23.639,0.0022919272727284063,172.22.174.58:9100,node-exporter
2026-02-19 20:39:28.639,0.0022823818181925823,172.22.174.58:9100,node-exporter
2026-02-19 20:39:33.639,0.0022817636363800953,172.22.174.58:9100,node-exporter
2026-02-19 20:39:38.639,0.0022732181818355458,172.22.174.58:9100,node-exporter
2026-02-19 20:39:43.639,0.002071999999994163,172.22.174.58:9100,node-exporter
2026-02-19 20:39:48.639,0.00013018181818386603,172.22.174.58:9100,node-exporter
2026-02-19 20:39:53.639,0.00012885454545374323,172.22.174.58:9100,node-exporter
2026-02-19 20:39:58.639,0.00019483636363226898,172.22.174.58:9100,node-exporter
2026-02-19 20:40:03.639,0.0001933818181813959,172.22.174.58:9100,node-exporter
2026-02-19 20:40:08.639,0.0018637454545321153,172.22.174.58:9100,node-exporter
2026-02-19 20:40:13.639,0.0018652909090881372,172.22.174.58:9100,node-exporter
2026-02-19 20:40:18.639,0.0018415090909084855,172.22.174.58:9100,node-exporter
2026-02-19 20:40:23.639,0.0018382363636357528,172.22.174.58:9100,node-exporter
2026-02-19 20:40:28.639,0.00183774545452748,172.22.174.58:9100,node-exporter
2026-02-19 20:40:33.639,0.0018437636363490707,172.22.174.58:9100,node-exporter
2026-02-19 20:40:38.639,0.0018520000000121811,172.22.174.58:9100,node-exporter
2026-02-19 20:40:43.639,0.001852472727279581,172.22.174.58:9100,node-exporter
2026-02-19 20:40:48.639,0.001854090909083342,172.22.174.58:9100,node-exporter
2026-02-19 20:40:53.639,0.0017816363636236267,172.22.174.58:9100,node-exporter
2026-02-19 20:40:58.639,0.0017804909090872651,172.22.174.58:9100,node-exporter
2026-02-19 20:41:03.639,0.00010610909091403961,172.22.174.58:9100,node-exporter
2026-02-19 20:41:08.639,0.00010956363638053351,172.22.174.58:9100,node-exporter
2026-02-19 20:41:13.639,0.00011152727273094403,172.22.174.58:9100,node-exporter
2026-02-19 20:41:18.639,0.0001111999999920954,172.22.174.58:9100,node-exporter
2026-02-19 20:41:23.639,0.00013709090910031757,172.22.174.58:9100,node-exporter
2026-02-19 20:41:28.639,0.00014089090909692457,172.22.174.58:9100,node-exporter
2026-02-19 20:41:33.639,0.00013854545453465436,172.22.174.58:9100,node-exporter
2026-02-19 20:41:38.639,0.0001390545454507281,172.22.174.58:9100,node-exporter
2026-02-19 20:41:43.639,0.00013890909092217704,172.22.174.58:9100,node-exporter
2026-02-19 20:41:48.639,0.00014354545455717017,172.22.174.58:9100,node-exporter
2026-02-19 20:41:53.639,0.0001632181818257033,172.22.174.58:9100,node-exporter
2026-02-19 20:41:58.639,0.00015778181818446187,172.22.174.58:9100,node-exporter
2026-02-19 20:42:03.639,0.00015161818181778388,172.22.174.58:9100,node-exporter
2026-02-19 20:42:08.639,0.00015569090909676477,172.22.174.58:9100,node-exporter
2026-02-19 20:42:13.639,0.0001541636363650799,172.22.174.58:9100,node-exporter
2026-02-19 20:42:18.639,0.00012765454546090701,172.22.174.58:9100,node-exporter
2026-02-19 20:42:23.639,0.00013343636363226158,172.22.174.58:9100,node-exporter
2026-02-19 20:42:28.639,0.00013061818181912794,172.22.174.58:9100,node-exporter
2026-02-19 20:42:33.639,0.00013514545455770778,172.22.174.58:9100,node-exporter
2026-02-19 20:42:38.639,0.0001358909090744088,172.22.174.58:9100,node-exporter
2026-02-19 20:42:43.639,0.00013307272726127518,172.22.174.58:9100,node-exporter
2026-02-19 20:42:48.639,0.00011432727271974065,172.22.174.58:9100,node-exporter
2026-02-19 20:42:53.639,0.00011756363637687172,172.22.174.58:9100,node-exporter
2026-02-19 20:42:58.639,0.00011849090908733408,172.22.174.58:9100,node-exporter
2026-02-19 20:43:03.639,0.00010965454545260977,172.22.174.58:9100,node-exporter
2026-02-19 20:43:08.639,0.00010900000000798503,172.22.174.58:9100,node-exporter
2026-02-19 20:43:13.639,0.0001751999999958736,172.22.174.58:9100,node-exporter
2026-02-19 20:43:18.639,0.00016638181818548633,172.22.174.58:9100,node-exporter
2026-02-19 20:43:23.639,0.00017089090908319285,172.22.174.58:9100,node-exporter
2026-02-19 20:43:28.639,0.0001683272727280961,172.22.174.58:9100,node-exporter
2026-02-19 20:43:33.639,0.0001618727272712435,172.22.174.58:9100,node-exporter
2026-02-19 20:43:38.639,0.00016120000000228175,172.22.174.58:9100,node-exporter
2026-02-19 20:43:43.639,0.00016478181818952592,172.22.174.58:9100,node-exporter
2026-02-19 20:43:48.639,0.0001656181817948395,172.22.174.58:9100,node-exporter
2026-02-19 20:43:53.639,0.00016529090908906337,172.22.174.58:9100,node-exporter
2026-02-19 20:43:58.639,0.00016656363636271138,172.22.174.58:9100,node-exporter
2026-02-19 20:44:03.639,0.00017109090908475495,172.22.174.58:9100,node-exporter
2026-02-19 20:44:08.639,0.00010205454545939573,172.22.174.58:9100,node-exporter
2026-02-19 20:44:13.639,9.841818181567676e-05,172.22.174.58:9100,node-exporter
2026-02-19 20:44:18.639,9.543636364965509e-05,172.22.174.58:9100,node-exporter
2026-02-19 20:44:23.639,9.42909090802211e-05,172.22.174.58:9100,node-exporter
2026-02-19 20:44:28.639,0.0006185272727386539,172.22.174.58:9100,node-exporter
2026-02-19 20:44:33.639,0.0006181636363511312,172.22.174.58:9100,node-exporter
