timestamp,value
2026-08-16 14:48:14.652,0.00975
2026-08-16 14:48:19.652,0.009750000000000002
2026-08-16 14:48:24.652,0.00975
2026-08-16 14:48:29.652,0.00975
2026-08-16 14:48:34.652,0.009750000000000002
2026-08-16 14:48:39.652,0.00975
2026-08-16 14:48:44.652,0.009750000000000002
2026-08-16 14:48:49.652,0.009750000000000002
2026-08-16 14:48:54.652,0.00975
2026-08-16 14:48:59.652,0.009747392872370666
2026-08-16 14:49:04.652,0.009747363598799921
2026-08-16 14:49:09.652,0.009747392872370666
2026-08-16 14:49:14.652,0.0097474215029958
2026-08-16 14:49:19.652,0.009747363598799921
2026-08-16 14:49:24.652,0.009747392872370666
2026-08-16 14:49:29.652,0.0097474215029958
2026-08-16 14:49:34.652,0.009747363598799921
2026-08-16 14:49:39.652,0.0097474215029958
2026-08-16 14:49:44.652,0.009747392872370666
2026-08-16 14:49:49.652,0.009747392872370666
2026-08-16 14:49:54.652,0.00975
2026-08-16 14:49:59.652,0.00975
2026-08-16 14:50:04.652,0.00975
2026-08-16 14:50:09.652,0.00975
2026-08-16 14:50:14.652,0.009750000000000002
2026-08-16 14:50:19.652,0.00975
2026-08-16 14:50:24.652,0.009750000000000002
2026-08-16 14:50:29.652,0.009750000000000002
2026-08-16 14:50:34.652,0.009750000000000002
2026-08-16 14:50:39.652,0.00975
2026-08-16 14:50:44.652,0.009750000000000002
2026-08-16 14:50:49.652,0.00975
2026-08-16 14:50:54.652,0.00975
2026-08-16 14:50:59.652,0.009750000000000002
2026-08-16 14:51:04.652,0.00975
2026-08-16 14:51:09.652,0.00975
2026-08-16 14:51:14.652,0.009750000000000002
2026-08-16 14:51:19.652,0.00975
2026-08-16 14:51:24.652,0.00975
2026-08-16 14:51:29.652,0.00975
2026-08-16 14:51:34.652,0.00975
2026-08-16 14:51:39.652,0.00975
2026-08-16 14:51:44.652,0.00975
2026-08-16 14:51:49.652,0.00975
2026-08-16 14:51:54.652,0.009750000000000002
2026-08-16 14:51:59.652,0.00975
2026-08-16 14:52:04.652,0.00975
2026-08-16 14:52:09.652,0.009750000000000002
2026-08-16 14:52:14.652,0.00975
2026-08-16 14:52:19.652,0.009750000000000002
2026-08-16 14:52:24.652,0.009750000000000002
2026-08-16 14:52:29.652,0.00975
2026-08-16 14:52:34.652,0.009750000000000002
2026-08-16 14:52:39.652,0.009750000000000002
2026-08-16 14:52:44.652,0.00975
2026-08-16 14:52:49.652,0.00975
2026-08-16 14:52:54.652,0.009750000000000002
2026-08-16 14:52:59.652,0.00975
2026-08-16 14:53:04.652,0.00975
2026-08-16 14:53:09.652,0.009750000000000002
2026-08-16 14:53:14.652,0.00975
2026-08-16 14:53:19.652,0.00975
2026-08-16 14:53:24.652,0.009750000000000002
2026-08-16 14:53:29.652,0.00975
