workload,tier,replicas,metric,mean_value
resnet152,phase1_v3,8,app_latency_p99,0.028277664607724514
resnet152,phase1_v3,9,app_latency_p50,0.017690388531802437
resnet152,phase1_v3,9,app_latency_p95,0.023548361061083774
resnet152,phase1_v3,9,app_latency_p99,0.02879340418434248
resnet152,phase1_v3,10,app_latency_p50,0.01774501711419108
resnet152,phase1_v3,10,app_latency_p95,0.02389529256620673
resnet152,phase1_v3,10,app_latency_p99,0.02923844833309421
whisper,phase1_v3,1,app_latency_p50,0.17524149934892674
whisper,phase1_v3,1,app_latency_p95,0.24295884876296078
whisper,phase1_v3,1,app_latency_p99,0.24969101066340887
whisper,phase1_v3,2,app_latency_p50,0.3262812562555663
whisper,phase1_v3,2,app_latency_p95,0.48291540000289174
whisper,phase1_v3,2,app_latency_p99,0.49709912024224495
whisper,phase1_v3,3,app_latency_p50,0.42006797006834584
whisper,phase1_v3,3,app_latency_p95,0.912749897538089
whisper,phase1_v3,3,app_latency_p99,0.9839921113721434
whisper,phase1_v3,4,app_latency_p50,0.6247015203027074
whisper,phase1_v3,4,app_latency_p95,1.2670475892946578
whisper,phase1_v3,4,app_latency_p99,2.2460271833605483
whisper,phase1_v3,5,app_latency_p50,0.7882257083563537
whisper,phase1_v3,5,app_latency_p95,2.2268403993503645
whisper,phase1_v3,5,app_latency_p99,2.445368079870073
whisper,phase1_v3,6,app_latency_p50,0.986158990319701
whisper,phase1_v3,6,app_latency_p95,2.3447380591027853
whisper,phase1_v3,6,app_latency_p99,2.469299219201512
whisper,phase1_v3,7,app_latency_p50,1.33008023199746
whisper,phase1_v3,7,app_latency_p95,2.3863757116211857
whisper,phase1_v3,7,app_latency_p99,2.482893261178254
whisper,phase1_v3,8,app_latency_p50,1.5007404811945548
whisper,phase1_v3,8,app_latency_p95,2.4248579800342216
whisper,phase1_v3,8,app_latency_p99,3.076178505985483
whisper,phase1_v3,9,app_latency_p50,1.6143298488026714
whisper,phase1_v3,9,app_latency_p95,2.703718865305398
whisper,phase1_v3,9,app_latency_p99,4.4319281908400345
whisper,phase1_v3,10,app_latency_p50,1.6240045159340066
whisper,phase1_v3,10,app_latency_p95,2.8596418607751883
whisper,phase1_v3,10,app_latency_p99,4.504088885650091
yolo,phase1_v3,1,app_latency_p50,0.005473382718430098
yolo,phase1_v3,1,app_latency_p95,0.012904297471067167
yolo,phase1_v3,1,app_latency_p99,0.01696367343838858
yolo,phase1_v3,2,app_latency_p50,0.008605523443223878
yolo,phase1_v3,2,app_latency_p95,0.017039509818983514
yolo,phase1_v3,2,app_latency_p99,0.01938566943576181
yolo,phase1_v3,3,app_latency_p50,0.01698509923897807
yolo,phase1_v3,3,app_latency_p95,0.024833221709027842
yolo,phase1_v3,3,app_latency_p99,0.02594254863869424
yolo,phase1_v3,4,app_latency_p50,0.01594071812647509
yolo,phase1_v3,4,app_latency_p95,0.024721141477287316
yolo,phase1_v3,4,app_latency_p99,0.026251782794910927
yolo,phase1_v3,5,app_latency_p50,0.019560662392324332
yolo,phase1_v3,5,app_latency_p95,0.029966769110627515
yolo,phase1_v3,5,app_latency_p99,0.03229418880831346
yolo,phase1_v3,6,app_latency_p50,0.018831580235636906
yolo,phase1_v3,6,app_latency_p95,0.03273179543270695
yolo,phase1_v3,6,app_latency_p99,0.03615228133805464
yolo,phase1_v3,7,app_latency_p50,0.023646099712766093
yolo,phase1_v3,7,app_latency_p95,0.036899309284934664
yolo,phase1_v3,7,app_latency_p99,0.03948219632091558
yolo,phase1_v3,8,app_latency_p50,0.024576223198592755
yolo,phase1_v3,8,app_latency_p95,0.04194857213499858
yolo,phase1_v3,8,app_latency_p99,0.04927482465715707
yolo,phase1_v3,9,app_latency_p50,0.033552983925093434
yolo,phase1_v3,9,app_latency_p95,0.052852032791412276
yolo,phase1_v3,9,app_latency_p99,0.057171633736941126
yolo,phase1_v3,10,app_latency_p50,0.030085746825018342
yolo,phase1_v3,10,app_latency_p95,0.0510191486979402
yolo,phase1_v3,10,app_latency_p99,0.05477171582691255
bert,tier1,1,app_latency_p50,0.007499806699481639
bert,tier1,1,app_latency_p95,0.009749980669948154
bert,tier1,1,app_latency_p99,0.009949996133989633
gpt2,tier1,1,app_latency_p50,0.3981095476202435
gpt2,tier1,1,app_latency_p95,0.4898109547620243
gpt2,tier1,1,app_latency_p99,0.49796219095240485
resnet152,tier1,1,app_latency_p50,0.007521575902715707
resnet152,tier1,1,app_latency_p95,0.00980942817465612
resnet152,tier1,1,app_latency_p99,0.010703065358243658
whisper,tier1,1,app_latency_p50,0.14491809603480874
whisper,tier1,1,app_latency_p95,0.23949180960348085
whisper,tier1,1,app_latency_p99,0.24789836192069614
yolo,tier1,1,app_latency_p50,0.005000654816723392
yolo,tier1,1,app_latency_p95,0.009501244151774443
yolo,tier1,1,app_latency_p99,0.009901296537112319
bert,tier2,1,app_latency_p50,0.0029612920151314915
bert,tier2,1,app_latency_p95,0.006559838951430343
bert,tier2,1,app_latency_p99,0.008724449786610274
bert,tier2,2,app_latency_p50,0.0028912199629811124
bert,tier2,2,app_latency_p95,0.007299757467663469
bert,tier2,2,app_latency_p99,0.009392276141960709
bert,tier2,3,app_latency_p50,0.0032837827663312804
bert,tier2,3,app_latency_p95,0.00822059170827298
bert,tier2,3,app_latency_p99,0.009638022112391034
bert,tier2,4,app_latency_p50,0.0031404662143717827
bert,tier2,4,app_latency_p95,0.007882034260988241
bert,tier2,4,app_latency_p99,0.009570951950433898
bert,tier2,5,app_latency_p50,0.0031571107240622705
bert,tier2,5,app_latency_p95,0.008143184028000485
bert,tier2,5,app_latency_p99,0.009619417964107835
bert,tier2,6,app_latency_p50,0.0030722850710303536
bert,tier2,6,app_latency_p95,0.008016262514441146
bert,tier2,6,app_latency_p99,0.009594656053588033
bert,tier2,7,app_latency_p50,0.003139492147634705
bert,tier2,7,app_latency_p95,0.007264652280878517
bert,tier2,7,app_latency_p99,0.009367696540182406
gpt2,tier2,1,app_latency_p50,0.39850549863924634
gpt2,tier2,1,app_latency_p95,0.489850549578706
gpt2,tier2,1,app_latency_p99,0.4979701098582654
gpt2,tier2,2,app_latency_p50,0.3987532786811465
gpt2,tier2,2,app_latency_p95,0.48993424471047087
gpt2,tier2,2,app_latency_p99,0.4995398264752656
gpt2,tier2,3,app_latency_p50,0.3984592086995989
gpt2,tier2,3,app_latency_p95,0.4898852602841551
gpt2,tier2,3,app_latency_p99,0.49820134449901715
gpt2,tier2,4,app_latency_p50,0.39872431200534453
gpt2,tier2,4,app_latency_p95,0.4900066762169275
gpt2,tier2,4,app_latency_p99,0.5008104138047862
gpt2,tier2,5,app_latency_p50,0.39857823190516417
gpt2,tier2,5,app_latency_p95,0.4899971620952118
gpt2,tier2,5,app_latency_p99,0.49933908151842415
gpt2,tier2,6,app_latency_p50,0.3986416296471003
gpt2,tier2,6,app_latency_p95,0.4900856367760113
gpt2,tier2,6,app_latency_p99,0.5026075787068929
gpt2,tier2,7,app_latency_p50,0.3988643208520621
gpt2,tier2,7,app_latency_p95,0.4902061545579795
gpt2,tier2,7,app_latency_p99,0.5019552095661999
resnet152,tier2,1,app_latency_p50,0.00851735072414069
resnet152,tier2,1,app_latency_p95,0.011884500984088301
resnet152,tier2,1,app_latency_p99,0.013488622523491348
resnet152,tier2,2,app_latency_p50,0.0075314301834934405
resnet152,tier2,2,app_latency_p95,0.009943344506752192
resnet152,tier2,2,app_latency_p99,0.01033561239036296
resnet152,tier2,3,app_latency_p50,0.007573964246243856
resnet152,tier2,3,app_latency_p95,0.010246787765297718
resnet152,tier2,3,app_latency_p99,0.010958653133214038
resnet152,tier2,4,app_latency_p50,0.007623923091816964
resnet152,tier2,4,app_latency_p95,0.010682954671646115
resnet152,tier2,4,app_latency_p99,0.011662344507600318
resnet152,tier2,5,app_latency_p50,0.007590207205073035
resnet152,tier2,5,app_latency_p95,0.01038324120152208
resnet152,tier2,5,app_latency_p99,0.011146587286587439
resnet152,tier2,6,app_latency_p50,0.007512286659420727
resnet152,tier2,6,app_latency_p95,0.009781171199082103
resnet152,tier2,6,app_latency_p99,0.010114614516871484
resnet152,tier2,7,app_latency_p50,0.007525187555204949
resnet152,tier2,7,app_latency_p95,0.009892618444160511
resnet152,tier2,7,app_latency_p99,0.010552237057688174
whisper,tier2,1,app_latency_p50,0.16370890066580393
whisper,tier2,1,app_latency_p95,0.24137089006658038
whisper,tier2,1,app_latency_p99,0.24827417801331605
whisper,tier2,2,app_latency_p50,0.17027985892889624
whisper,tier2,2,app_latency_p95,0.2427334545558918
whisper,tier2,2,app_latency_p99,0.26422278388936454
whisper,tier2,3,app_latency_p50,0.17446769394266495
whisper,tier2,3,app_latency_p95,0.24473375650048762
whisper,tier2,3,app_latency_p99,0.32595475675031577
whisper,tier2,4,app_latency_p50,0.18950193908059657
whisper,tier2,4,app_latency_p95,0.32972273885283715
whisper,tier2,4,app_latency_p99,0.40128479541028733
whisper,tier2,5,app_latency_p50,0.24997059394585633
whisper,tier2,5,app_latency_p95,0.3613436106382093
whisper,tier2,5,app_latency_p99,0.4493394990161196
whisper,tier2,6,app_latency_p50,0.28040066962214844
whisper,tier2,6,app_latency_p95,0.516149779133615
whisper,tier2,6,app_latency_p99,0.8858985574523632
whisper,tier2,7,app_latency_p50,0.3530897429067033
whisper,tier2,7,app_latency_p95,0.6147994447179983
whisper,tier2,7,app_latency_p99,0.7949877129424159
yolo,tier2,1,app_latency_p50,0.0050086730670314585
yolo,tier2,1,app_latency_p95,0.009516478827359773
yolo,tier2,1,app_latency_p99,0.010343913516014039
yolo,tier2,2,app_latency_p50,0.004999999999999999
yolo,tier2,2,app_latency_p95,0.009499999999999996
yolo,tier2,2,app_latency_p99,0.00989999999999999
yolo,tier2,3,app_latency_p50,0.005017202532455963
yolo,tier2,3,app_latency_p95,0.009532684811666341
yolo,tier2,3,app_latency_p99,0.010635311939888372
yolo,tier2,4,app_latency_p50,0.005013914158224464
yolo,tier2,4,app_latency_p95,0.009526436900626512
yolo,tier2,4,app_latency_p99,0.010124402341295927
yolo,tier2,5,app_latency_p50,0.005011623262684099
yolo,tier2,5,app_latency_p95,0.0095220841990998
yolo,tier2,5,app_latency_p99,0.010160077505494478
yolo,tier2,6,app_latency_p50,0.005009030803506369
yolo,tier2,6,app_latency_p95,0.00951715852666211
yolo,tier2,6,app_latency_p99,0.009964783562283473
yolo,tier2,7,app_latency_p50,0.005009659224911543
yolo,tier2,7,app_latency_p95,0.00951835252733194
yolo,tier2,7,app_latency_p99,0.010091124633311355
bert,tier3,1,app_latency_p50,0.00749875054772198
bert,tier3,1,app_latency_p95,0.009749875054772183
bert,tier3,1,app_latency_p99,0.009949975010954439
bert,tier3,2,app_latency_p50,0.00749894581742262
bert,tier3,2,app_latency_p95,0.009750071285283686
bert,tier3,2,app_latency_p99,0.009950171326871352
bert,tier3,3,app_latency_p50,0.007502599469621033
bert,tier3,3,app_latency_p95,0.009755955261311842
bert,tier3,3,app_latency_p99,0.010006627310343942
bert,tier3,4,app_latency_p50,0.007499886295770531
bert,tier3,4,app_latency_p95,0.00975112928010025
bert,tier3,4,app_latency_p99,0.00995123976759624
bert,tier3,5,app_latency_p50,0.007500006559941219
bert,tier3,5,app_latency_p95,0.009751354921223433
bert,tier3,5,app_latency_p99,0.009951474775559644
bert,tier3,6,app_latency_p50,0.007499948373697184
bert,tier3,6,app_latency_p95,0.009752401195871127
bert,tier3,6,app_latency_p99,0.009952619224508817
bert,tier3,7,app_latency_p50,0.007501445133551037
bert,tier3,7,app_latency_p95,0.009753716824404846
bert,tier3,7,app_latency_p99,0.009953918752480752
bert,tier3,8,app_latency_p50,0.0074997332157647175
bert,tier3,8,app_latency_p95,0.009751343966673338
bert,tier3,8,app_latency_p99,0.009951487144531887
bert,tier3,9,app_latency_p50,0.007502217072182182
bert,tier3,9,app_latency_p95,0.009754820659194002
bert,tier3,9,app_latency_p99,0.009960053461894068
bert,tier3,10,app_latency_p50,0.007494002537515042
bert,tier3,10,app_latency_p95,0.009753276166690698
bert,tier3,10,app_latency_p99,0.009954100489284098
gpt2,tier3,1,app_latency_p50,0.39851864114636626
gpt2,tier3,1,app_latency_p95,0.48985186411463666
gpt2,tier3,1,app_latency_p99,0.49797037282292744
gpt2,tier3,2,app_latency_p50,0.39888226237091157
gpt2,tier3,2,app_latency_p95,0.49004901020338243
gpt2,tier3,2,app_latency_p99,0.502319386553683
gpt2,tier3,3,app_latency_p50,0.44836017709025444
gpt2,tier3,3,app_latency_p95,0.6527122980920682
gpt2,tier3,3,app_latency_p99,0.6885902864603158
gpt2,tier3,4,app_latency_p50,0.5571138205856146
gpt2,tier3,4,app_latency_p95,0.7168133505334414
gpt2,tier3,4,app_latency_p99,0.7408981316968754
gpt2,tier3,5,app_latency_p50,0.5902526299937724
gpt2,tier3,5,app_latency_p95,0.7939350790745492
gpt2,tier3,5,app_latency_p99,0.8573201594486066
gpt2,tier3,6,app_latency_p50,0.7099611855799505
gpt2,tier3,6,app_latency_p95,0.8816531158865991
gpt2,tier3,6,app_latency_p99,0.9165150844716912
gpt2,tier3,7,app_latency_p50,0.790077699553329
gpt2,tier3,7,app_latency_p95,1.0989536090981087
gpt2,tier3,7,app_latency_p99,1.1729384557355265
gpt2,tier3,8,app_latency_p50,0.933882730414224
gpt2,tier3,8,app_latency_p95,1.2166600932196336
gpt2,tier3,8,app_latency_p99,1.2747187139824803
gpt2,tier3,9,app_latency_p50,1.0137795541389607
gpt2,tier3,9,app_latency_p95,1.3182119068863294
gpt2,tier3,9,app_latency_p99,1.3702046354953028
gpt2,tier3,10,app_latency_p50,1.1545470658119208
gpt2,tier3,10,app_latency_p95,1.4628849112337767
gpt2,tier3,10,app_latency_p99,1.5424976398986108
resnet152,tier3,1,app_latency_p50,0.007525739334858749
resnet152,tier3,1,app_latency_p95,0.00984619892163915
resnet152,tier3,1,app_latency_p99,0.010219351265189455
resnet152,tier3,2,app_latency_p50,0.007521688987884293
resnet152,tier3,2,app_latency_p95,0.009838041200530528
resnet152,tier3,2,app_latency_p99,0.010511123246822402
resnet152,tier3,3,app_latency_p50,0.007535566410175614
resnet152,tier3,3,app_latency_p95,0.01001165432343491
resnet152,tier3,3,app_latency_p99,0.010556977418524365
resnet152,tier3,4,app_latency_p50,0.007544460415379084
resnet152,tier3,4,app_latency_p95,0.01002462767316359
resnet152,tier3,4,app_latency_p99,0.010515356469871192
resnet152,tier3,5,app_latency_p50,0.007516965103682279
resnet152,tier3,5,app_latency_p95,0.009816183033925428
resnet152,tier3,5,app_latency_p99,0.010282152605177786
resnet152,tier3,6,app_latency_p50,0.007600560600441599
resnet152,tier3,6,app_latency_p95,0.010473051087742623
resnet152,tier3,6,app_latency_p99,0.011444909878504503
resnet152,tier3,7,app_latency_p50,0.007763396422668493
resnet152,tier3,7,app_latency_p95,0.011582669489385501
resnet152,tier3,7,app_latency_p99,0.013251953206728038
resnet152,tier3,8,app_latency_p50,0.0075355599880756975
resnet152,tier3,8,app_latency_p95,0.009940764508093664
resnet152,tier3,8,app_latency_p99,0.010812743986390422
resnet152,tier3,9,app_latency_p50,0.007666778689377902
resnet152,tier3,9,app_latency_p95,0.010771857157918617
resnet152,tier3,9,app_latency_p99,0.012300468475929045
resnet152,tier3,10,app_latency_p50,0.007898518879853687
resnet152,tier3,10,app_latency_p95,0.012554474626442304
resnet152,tier3,10,app_latency_p99,0.014677810868768
whisper,tier3,1,app_latency_p50,0.16683453186627947
whisper,tier3,1,app_latency_p95,0.24172252101953026
whisper,tier3,1,app_latency_p99,0.24885839226294879
